Date : 2023-06-21 21:43:09
Directory : c:\Users\nico\Desktop\G6VP\G6VP
Total : 1436 files,  306930 codes, 6444 comments, 14143 blanks, all 327517 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\OperatorHeader\registerMeta.ts                           | TypeScript         |         48 |          2 |          2 |         52 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\OverView\Component.tsx                                   | TypeScript JSX     |         45 |          1 |          8 |         54 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\OverView\Filter.tsx                                      | TypeScript JSX     |        148 |          6 |         20 |        174 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\OverView\Interpretation.tsx                              | TypeScript JSX     |         87 |          1 |          7 |         95 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\OverView\index.less                                      | Less               |         14 |          0 |          1 |         15 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\OverView\index.md                                        | Markdown           |         14 |          0 |          4 |         18 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\OverView\index.tsx                                       | TypeScript JSX     |          8 |          1 |          2 |         11 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\OverView\info.ts                                         | TypeScript         |         11 |          0 |          1 |         12 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\OverView\registerMeta.ts                                 | TypeScript         |         30 |          0 |          2 |         32 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PathAnalysis\Component.tsx                               | TypeScript JSX     |        388 |         11 |         26 |        425 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PathAnalysis\FilterRule.tsx                              | TypeScript JSX     |        101 |          0 |         11 |        112 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PathAnalysis\PanelExtra.tsx                              | TypeScript JSX     |         20 |          0 |          2 |         22 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PathAnalysis\index.less                                  | Less               |         18 |          0 |          2 |         20 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PathAnalysis\index.tsx                                   | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PathAnalysis\info.ts                                     | TypeScript         |         11 |          0 |          1 |         12 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PathAnalysis\registerMeta.ts                             | TypeScript         |         30 |          0 |          4 |         34 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PathAnalysis\typing.ts                                   | TypeScript         |         19 |          0 |          2 |         21 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PathAnalysis\utils.ts                                    | TypeScript         |          9 |          7 |          2 |         18 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PinNodeWithMenu\Component.tsx                            | TypeScript JSX     |         82 |         11 |         12 |        105 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PinNodeWithMenu\index.tsx                                | TypeScript JSX     |         17 |          1 |          4 |         22 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PinNodeWithMenu\registerMeta.ts                          | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Placeholder\Component.tsx                                | TypeScript JSX     |         37 |          0 |          6 |         43 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Placeholder\index.less                                   | Less               |         13 |          0 |          1 |         14 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Placeholder\index.md                                     | Markdown           |         27 |          0 |          5 |         32 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Placeholder\index.tsx                                    | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Placeholder\info.ts                                      | TypeScript         |         11 |          0 |          1 |         12 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Placeholder\registerMeta.ts                              | TypeScript         |         25 |          0 |          1 |         26 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PropertiesPanel\Component.tsx                            | TypeScript JSX     |        121 |          5 |         15 |        141 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PropertiesPanel\Properties.tsx                           | TypeScript JSX     |         25 |         10 |          5 |         40 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PropertiesPanel\PropertiesDetail.tsx                     | TypeScript JSX     |        101 |          0 |         15 |        116 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PropertiesPanel\Statistic\ChartCard.tsx                  | TypeScript JSX     |        105 |          0 |         16 |        121 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PropertiesPanel\Statistic\Charts\ColumnChart.tsx         | TypeScript JSX     |         26 |          0 |          7 |         33 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PropertiesPanel\Statistic\Charts\LineChart.tsx           | TypeScript JSX     |         26 |          0 |          7 |         33 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PropertiesPanel\Statistic\index.less                     | Less               |          3 |          0 |          1 |          4 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PropertiesPanel\Statistic\index.tsx                      | TypeScript JSX     |         29 |          0 |          7 |         36 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PropertiesPanel\index.less                               | Less               |         28 |          0 |          1 |         29 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PropertiesPanel\index.md                                 | Markdown           |         14 |          0 |          4 |         18 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PropertiesPanel\index.tsx                                | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PropertiesPanel\info.tsx                                 | TypeScript JSX     |         13 |          0 |          1 |         14 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PropertiesPanel\registerMeta.ts                          | TypeScript         |         99 |          0 |          9 |        108 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PropertyGraphInitializer\Component.tsx                   | TypeScript JSX     |         15 |          0 |          6 |         21 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PropertyGraphInitializer\index.tsx                       | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PropertyGraphInitializer\info.ts                         | TypeScript         |         11 |          2 |          1 |         14 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\PropertyGraphInitializer\registerMeta.ts                 | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\RemoveNodeWithMenu\Component.tsx                         | TypeScript JSX     |         56 |         10 |          5 |         71 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\RemoveNodeWithMenu\index.md                              | Markdown           |         14 |          0 |          3 |         17 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\RemoveNodeWithMenu\index.tsx                             | TypeScript JSX     |          8 |          1 |          2 |         11 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\RemoveNodeWithMenu\info.ts                               | TypeScript         |         11 |          0 |          1 |         12 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\RemoveNodeWithMenu\registerMeta.ts                       | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\RemoveNodeWithMenu\useRemove.ts                          | TypeScript         |         46 |          0 |          0 |         46 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Sankey\Component.tsx                                     | TypeScript JSX     |         46 |          0 |          8 |         54 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Sankey\index.tsx                                         | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Sankey\info.tsx                                          | TypeScript JSX     |         11 |          0 |          1 |         12 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Sankey\registerMeta.ts                                   | TypeScript         |         30 |          0 |          4 |         34 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Save\Component.tsx                                       | TypeScript JSX     |         68 |          3 |          7 |         78 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Save\index.md                                            | Markdown           |         14 |          0 |          4 |         18 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Save\index.tsx                                           | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Save\info.ts                                             | TypeScript         |         13 |          0 |          1 |         14 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Save\registerMeta.ts                                     | TypeScript         |         23 |          0 |          4 |         27 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SegmentedLayout\SegmentedTabs.tsx                        | TypeScript JSX     |         67 |          6 |         10 |         83 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SegmentedLayout\component.tsx                            | TypeScript JSX     |         50 |          1 |          9 |         60 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SegmentedLayout\index.less                               | Less               |         23 |          0 |          2 |         25 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SegmentedLayout\index.ts                                 | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SegmentedLayout\info.ts                                  | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SegmentedLayout\registerMeta.ts                          | TypeScript         |         38 |          0 |          1 |         39 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SegmentedLayout\useComponents.tsx                        | TypeScript JSX     |         44 |          0 |          8 |         52 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SelectExchangeMenuItem\Component.tsx                     | TypeScript JSX     |         43 |          3 |          7 |         53 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SelectExchangeMenuItem\index.md                          | Markdown           |         14 |          0 |          4 |         18 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SelectExchangeMenuItem\index.tsx                         | TypeScript JSX     |          8 |          1 |          2 |         11 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SelectExchangeMenuItem\info.ts                           | TypeScript         |         11 |          0 |          1 |         12 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SelectExchangeMenuItem\registerMeta.ts                   | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SideSelectTabs\Component.tsx                             | TypeScript JSX     |        107 |          3 |         13 |        123 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SideSelectTabs\QueryContainer.tsx                        | TypeScript JSX     |         70 |          1 |          8 |         79 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SideSelectTabs\index.less                                | Less               |         39 |          0 |          2 |         41 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SideSelectTabs\index.ts                                  | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SideSelectTabs\info.ts                                   | TypeScript         |         11 |          1 |          2 |         14 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SideSelectTabs\registerMeta.ts                           | TypeScript         |         41 |          0 |          7 |         48 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SideTabs\CollapseContainer.tsx                           | TypeScript JSX     |         42 |          0 |          7 |         49 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SideTabs\Component.tsx                                   | TypeScript JSX     |        123 |          7 |         11 |        141 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SideTabs\SideContainer.tsx                               | TypeScript JSX     |        128 |         34 |         10 |        172 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SideTabs\WrapTab.tsx                                     | TypeScript JSX     |         65 |          0 |          7 |         72 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SideTabs\index.less                                      | Less               |         40 |         18 |          2 |         60 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SideTabs\index.md                                        | Markdown           |         14 |          0 |          4 |         18 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SideTabs\index.tsx                                       | TypeScript JSX     |         17 |          1 |          3 |         21 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SideTabs\registerMeta.ts                                 | TypeScript         |         52 |          0 |          6 |         58 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\SideTabs\typing.ts                                       | TypeScript         |          7 |          1 |          1 |          9 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\ToggleClusterWithMenu\Component.tsx                      | TypeScript JSX     |        142 |         57 |         19 |        218 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\ToggleClusterWithMenu\index.tsx                          | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\ToggleClusterWithMenu\registerMeta.ts                    | TypeScript         |         21 |          0 |          1 |         22 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Toolbar\Component.tsx                                    | TypeScript JSX     |         41 |          0 |          5 |         46 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Toolbar\Toolbar.tsx                                      | TypeScript JSX     |         41 |         11 |         10 |         62 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Toolbar\index.less                                       | Less               |         10 |          2 |          1 |         13 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Toolbar\index.md                                         | Markdown           |         14 |          0 |          4 |         18 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Toolbar\index.tsx                                        | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Toolbar\info.ts                                          | TypeScript         |         11 |          0 |          1 |         12 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Toolbar\registerMeta.ts                                  | TypeScript         |         48 |          0 |          4 |         52 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\TooltipForEdge\Component.tsx                             | TypeScript JSX     |         55 |          2 |          8 |         65 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\TooltipForEdge\index.less                                | Less               |          9 |          0 |          1 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\TooltipForEdge\index.md                                  | Markdown           |         14 |          0 |          4 |         18 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\TooltipForEdge\index.tsx                                 | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\TooltipForEdge\info.ts                                   | TypeScript         |         11 |          0 |          1 |         12 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\TooltipForEdge\registerMeta.ts                           | TypeScript         |         60 |          0 |          3 |         63 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\TooltipForEdge\utils.ts                                  | TypeScript         |          2 |         12 |          1 |         15 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Tooltip\Component.tsx                                    | TypeScript JSX     |         55 |          2 |          7 |         64 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Tooltip\index.less                                       | Less               |          9 |          0 |          1 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Tooltip\index.md                                         | Markdown           |         14 |          0 |          4 |         18 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Tooltip\index.tsx                                        | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Tooltip\info.ts                                          | TypeScript         |         11 |          0 |          1 |         12 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Tooltip\registerMeta.ts                                  | TypeScript         |         60 |          5 |          3 |         68 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Tooltip\utils.ts                                         | TypeScript         |          2 |         12 |          1 |         15 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\UIComponents\DivContainer\index.less                     | Less               |         71 |          6 |          2 |         79 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\UIComponents\DivContainer\index.tsx                      | TypeScript JSX     |         69 |          0 |          6 |         75 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\UIComponents\Panel\index.less                            | Less               |         63 |          0 |          1 |         64 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\UIComponents\Panel\index.tsx                             | TypeScript JSX     |         59 |          0 |          0 |         59 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\UIComponents\index.tsx                                   | TypeScript JSX     |         16 |          0 |          4 |         20 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\UadLayout\component.tsx                                  | TypeScript JSX     |         80 |          1 |          7 |         88 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\UadLayout\index.less                                     | Less               |         17 |          0 |          2 |         19 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\UadLayout\index.ts                                       | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\UadLayout\info.ts                                        | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\UadLayout\registerMeta.ts                                | TypeScript         |         79 |          0 |          1 |         80 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\UadLayout\useComponents.tsx                              | TypeScript JSX     |         50 |          0 |          9 |         59 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Watermark\Component.tsx                                  | TypeScript JSX     |        276 |         10 |         30 |        316 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Watermark\index.tsx                                      | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Watermark\info.ts                                        | TypeScript         |         12 |          0 |          1 |         13 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Watermark\registerMeta.ts                                | TypeScript         |        101 |          0 |          4 |        105 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\Watermark\utils.ts                                       | TypeScript         |         14 |          3 |          4 |         21 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\ZoomIn\Component.tsx                                     | TypeScript JSX     |         13 |          0 |          3 |         16 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\ZoomIn\index.md                                          | Markdown           |         14 |          0 |          4 |         18 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\ZoomIn\index.tsx                                         | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\ZoomIn\info.ts                                           | TypeScript         |         11 |          0 |          1 |         12 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\ZoomIn\registerMeta.ts                                   | TypeScript         |         11 |          0 |          3 |         14 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\ZoomOut\Component.tsx                                    | TypeScript JSX     |         13 |          0 |          4 |         17 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\ZoomOut\index.md                                         | Markdown           |         14 |          0 |          4 |         18 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\ZoomOut\index.tsx                                        | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\ZoomOut\info.ts                                          | TypeScript         |         11 |          0 |          1 |         12 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\ZoomOut\registerMeta.ts                                  | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\ZoomStatus\Component.tsx                                 | TypeScript JSX     |         41 |          0 |          2 |         43 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\ZoomStatus\index.md                                      | Markdown           |         14 |          0 |          2 |         16 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\ZoomStatus\index.tsx                                     | TypeScript JSX     |          8 |          1 |          2 |         11 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\ZoomStatus\info.ts                                       | TypeScript         |         10 |          0 |          1 |         11 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\ZoomStatus\registerMeta.ts                               | TypeScript         |         18 |          0 |          1 |         19 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\common\downloadCsv.tsx                                   | TypeScript JSX     |         10 |          1 |          2 |         13 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\common\handlePinNode.tsx                                 | TypeScript JSX     |         86 |          8 |          7 |        101 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\const.ts                                                 | TypeScript         |         28 |          0 |          2 |         30 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\index.tsx                                                | TypeScript JSX     |         88 |         14 |          3 |        105 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\types\index.ts                                           | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\utils.ts                                                 | TypeScript         |         48 |         16 |          5 |         69 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\utils\csv.ts                                             | TypeScript         |         57 |          5 |          9 |         71 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\utils\graph.ts                                           | TypeScript         |         48 |          0 |          4 |         52 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\utils\hull.ts                                            | TypeScript         |         63 |         11 |          4 |         78 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\components\utils\index.ts                                           | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\elements\DonutNode\index.md                                         | Markdown           |         14 |          0 |          4 |         18 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\elements\DonutNode\index.tsx                                        | TypeScript JSX     |         19 |          1 |          3 |         23 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\elements\DonutNode\registerMeta.tsx                                 | TypeScript JSX     |         58 |          1 |          4 |         63 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\elements\DonutNode\registerShape.ts                                 | TypeScript         |          3 |          1 |          1 |          5 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\elements\DonutNode\registerTransform.ts                             | TypeScript         |         53 |          4 |          6 |         63 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\elements\SimpleEdge\index.tsx                                       | TypeScript JSX     |         19 |          2 |          3 |         24 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\elements\SimpleEdge\registerMeta.tsx                                | TypeScript JSX     |        294 |          6 |          5 |        305 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\elements\SimpleEdge\registerShape.ts                                | TypeScript         |          3 |          1 |          1 |          5 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\elements\SimpleEdge\registerTransform.ts                            | TypeScript         |        199 |         17 |         19 |        235 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\elements\SimpleNode\index.md                                        | Markdown           |         14 |          0 |          4 |         18 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\elements\SimpleNode\index.tsx                                       | TypeScript JSX     |         20 |          1 |          3 |         24 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\elements\SimpleNode\registerMeta.tsx                                | TypeScript JSX     |        290 |         11 |          4 |        305 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\elements\SimpleNode\registerShape.ts                                | TypeScript         |          3 |          1 |          1 |          5 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\elements\SimpleNode\registerTransform.ts                            | TypeScript         |        251 |         10 |         23 |        284 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\elements\index.tsx                                                  | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-assets-basic\src\index.tsx                                                           | TypeScript JSX     |          6 |          0 |          1 |          7 |
